Tipo_Antecessor,Qtd Chaves,Altura,Altura Esperada
AVL,164,8,10
AVL,164,8,10
AVL,164,8,10
AVL,164,8,10
AVL,164,8,10
AVL,164,8,10
AVL,164,8,10
AVL,164,8,10
AVL,164,7,10
AVL,164,8,10
AVL,164,8,10
AVL,164,8,10
AVL,164,8,10
AVL,164,8,10
AVL,164,8,10
AVL,164,8,10
AVL,164,8,10
AVL,164,8,10
AVL,164,8,10
AVL,164,8,10
AVL,164,8,10
AVL,164,8,10
AVL,164,8,10
AVL,164,8,10
AVL,164,8,10
AVL,164,8,10
AVL,164,8,10
AVL,164,8,10
AVL,164,8,10
AVL,164,8,10
AVL,164,8,10
AVL,164,8,10
AVL,164,8,10
AVL,164,8,10
AVL,164,8,10
AVL,164,8,10
AVL,164,8,10
AVL,164,8,10
AVL,164,8,10
AVL,164,8,10
AVL,164,8,10
AVL,164,8,10
AVL,164,8,10
AVL,164,8,10
AVL,164,8,10
AVL,164,8,10
AVL,164,8,10
AVL,164,8,10
AVL,164,8,10
AVL,164,8,10
AVL,164,8,10
AVL,164,8,10
AVL,164,8,10
AVL,164,8,10
AVL,164,8,10
AVL,164,8,10
AVL,164,8,10
AVL,164,8,10
AVL,164,8,10
AVL,164,7,10
AVL,164,8,10
AVL,164,8,10
AVL,164,8,10
AVL,164,8,10
AVL,164,8,10
AVL,164,8,10
AVL,164,8,10
AVL,164,8,10
AVL,164,8,10
AVL,164,8,10
AVL,164,8,10
AVL,164,8,10
AVL,164,8,10
AVL,164,8,10
AVL,164,8,10
AVL,164,8,10
AVL,164,8,10
AVL,164,8,10
AVL,164,8,10
AVL,164,8,10
AVL,164,8,10
AVL,164,8,10
AVL,164,8,10
AVL,164,8,10
AVL,164,8,10
AVL,853,11,13
AVL,853,10,13
AVL,853,10,13
AVL,853,11,13
AVL,853,11,13
AVL,853,11,13
AVL,853,11,13
AVL,853,11,13
AVL,853,11,13
AVL,853,11,13
AVL,853,11,13
AVL,853,11,13
AVL,853,11,13
AVL,853,10,13
AVL,853,11,13
AVL,853,10,13
AVL,853,10,13
AVL,853,11,13
AVL,853,10,13
AVL,853,11,13
AVL,853,11,13
AVL,853,11,13
AVL,853,11,13
AVL,853,11,13
AVL,853,10,13
AVL,853,11,13
AVL,853,11,13
AVL,853,11,13
AVL,853,11,13
AVL,853,11,13
AVL,853,10,13
AVL,853,11,13
AVL,853,11,13
AVL,853,11,13
AVL,853,11,13
AVL,853,11,13
AVL,853,11,13
AVL,853,10,13
AVL,853,10,13
AVL,853,10,13
AVL,853,11,13
AVL,853,10,13
AVL,853,11,13
AVL,853,11,13
AVL,853,11,13
AVL,853,11,13
AVL,853,10,13
AVL,853,11,13
AVL,853,11,13
AVL,853,11,13
AVL,853,10,13
AVL,853,10,13
AVL,853,11,13
AVL,853,11,13
AVL,853,11,13
AVL,853,10,13
AVL,853,10,13
AVL,853,11,13
AVL,853,11,13
AVL,853,11,13
AVL,853,11,13
AVL,853,11,13
AVL,853,11,13
AVL,853,11,13
AVL,853,11,13
AVL,853,10,13
AVL,853,11,13
AVL,853,11,13
AVL,853,10,13
AVL,853,11,13
AVL,853,11,13
AVL,853,11,13
AVL,853,11,13
AVL,853,10,13
AVL,853,11,13
AVL,853,10,13
AVL,853,11,13
AVL,853,10,13
AVL,853,10,13
AVL,853,11,13
AVL,853,11,13
AVL,853,10,13
AVL,853,11,13
AVL,853,10,13
AVL,853,11,13
AVL,853,11,13
AVL,853,10,13
AVL,853,11,13
AVL,853,11,13
AVL,853,10,13
AVL,853,10,13
AVL,853,10,13
AVL,853,10,13
AVL,853,10,13
AVL,853,11,13
AVL,853,10,13
AVL,853,11,13
AVL,853,11,13
AVL,853,10,13
AVL,853,10,13
AVL,275,8,11
AVL,275,8,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,8,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,8,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,8,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,8,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,8,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,8,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,8,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,8,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,8,11
AVL,275,8,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,8,11
AVL,275,9,11
AVL,275,9,11
AVL,275,8,11
AVL,275,9,11
AVL,275,8,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,9,11
AVL,275,8,11
AVL,890,10,13
AVL,890,11,13
AVL,890,10,13
AVL,890,11,13
AVL,890,11,13
AVL,890,11,13
AVL,890,11,13
AVL,890,11,13
AVL,890,10,13
AVL,890,11,13
AVL,890,11,13
AVL,890,11,13
AVL,890,11,13
AVL,890,11,13
AVL,890,10,13
AVL,890,11,13
AVL,890,11,13
AVL,890,11,13
AVL,890,11,13
AVL,890,11,13
AVL,890,11,13
AVL,890,11,13
AVL,890,11,13
AVL,890,11,13
AVL,890,11,13
AVL,890,11,13
AVL,890,11,13
AVL,890,11,13
AVL,890,11,13
AVL,890,10,13
AVL,890,11,13
AVL,890,11,13
AVL,890,11,13
AVL,890,11,13
AVL,890,11,13
AVL,890,11,13
AVL,890,11,13
AVL,890,11,13
AVL,890,11,13
AVL,890,11,13
AVL,890,11,13
AVL,890,10,13
AVL,890,10,13
AVL,890,11,13
AVL,890,11,13
AVL,890,11,13
AVL,890,11,13
AVL,890,11,13
AVL,890,11,13
AVL,890,11,13
AVL,890,11,13
AVL,890,11,13
AVL,890,11,13
AVL,890,10,13
AVL,890,11,13
AVL,890,11,13
AVL,890,11,13
AVL,890,11,13
AVL,890,11,13
AVL,890,11,13
AVL,890,11,13
AVL,890,11,13
AVL,890,11,13
AVL,890,11,13
AVL,890,11,13
AVL,890,10,13
AVL,890,11,13
AVL,890,11,13
AVL,890,11,13
AVL,890,11,13
AVL,890,10,13
AVL,890,11,13
AVL,890,11,13
AVL,890,11,13
AVL,890,11,13
AVL,890,11,13
AVL,890,11,13
AVL,890,10,13
AVL,890,11,13
AVL,890,11,13
AVL,890,11,13
AVL,890,11,13
AVL,890,11,13
AVL,890,11,13
AVL,890,11,13
AVL,890,11,13
AVL,890,11,13
